id,text,labels,comment,sentiment
0,team merimera alikuwa takataka,0,team merimera alikuwa takataka,0
1,sijafurahishwa,0,sijafurahishwa,0
2,kubuni dosari,0,kubuni dosari,0
3,bila kusema nilipoteza pesa zangu,0,bila kusema nilipoteza pesa zangu,0
4,sema kupoteza pesa na wakati,0,sema kupoteza pesa na wakati,0
5,ubunifu ni isiyo ya kawaida sana kwani kipande cha sikio sio kizuri sana hata,0,ubunifu ni isiyo ya kawaida sana kwani kipande cha sikio sio kizuri sana hata,0
6,akili yako imeoza,0,akili yako imeoza,0
7,aki si maisha ni magumu,0,aki si maisha ni magumu,0
8,enyewe safaricom ni wezi,0,enyewe safaricom ni wezi,0
9,mtandao duni hata line yao niliweka nyuma ya simu yangunatumia airtel,0,mtandao duni hata line yao niliweka nyuma ya simu yangunatumia airtel,0
10,mtandao wenu wa g ni mbaya sana siku hizi tafadhali rekebisheni,0,mtandao wenu wa g ni mbaya sana siku hizi tafadhali rekebisheni,0
11,safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,0,safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,0
12,hauna haki,0,hauna haki,0
13,nyinyi mimi nilinunua laini yenu miaka  iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliaheeeee nengereni cia maitho kari gani,0,nyinyi mimi nilinunua laini yenu miaka iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliahe nengereni cia maitho kari gani,0
14,siwezi kuona jinsi sinema hii inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa,0,siwezi kuona jinsi sinema hi inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa,0
15,ni mbaya sana ni kweli inafaa kuona kwa sababu hiyo,0,ni mbaya sana ni kweli inafa kuona kwa sababu hiyo,0
16,muziki mdogo sana au kitu chochote cha kuzungumzia,0,muziki mdogo sana au kitu chochote cha kuzungumzia,0
17,bado mtaishi kuwa wakora ata hii ofa labda kuna kakitu mnaiba haha,0,bado mtaishi kuwa wakora ata hi ofa labda kuna kakitu mnaiba haha,0
18,nimepoteza masaa mawili,0,nimepoteza masa mawili,0
19,inaweza kutabirika kidogo,0,inaweza kutabirika kidogo,0
20,sikuipenda mimi,0,sikuipenda mimi,0
21,mimi sipenda ujinga,0,mimi sipenda ujinga,0
22,ilikuwa na kaimu ya wastani kutoka kwa mtu mkuu na ilikuwa bajeti ya chini kama unavyoweza kuona wazi,0,ilikuwa na kaimu ya wastani kutoka kwa mtu mku na ilikuwa bajeti ya chini kama unavyoweza kuona wazi,0
23,picha ni mbali na sehemu bora ya mchezo,0,picha ni mbali na sehemu bora ya mchezo,0
24,leo picha ni ujinga,0,leo picha ni ujinga,0
25,hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,0,hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,0
26,sikuvutiwa hata kidogo,0,sikuvutiwa hata kidogo,0
27,haisisimui hata kidogo,0,haisisimui hata kidogo,0
28,lakini hata carrell mwenye talanta hawezi kuokoa hii,0,lakini hata carel mwenye talanta hawezi kuokoa hi,0
29,hadithi yenyewe ni ya kutabirika tu na ya uvivu,0,hadithi yenyewe ni ya kutabirika tu na ya uvivu,0
30,lakini chochote kile ambacho kiliwagharimu sana hakikuitafsiri kwa ubora hiyo ni kwa hakika,0,lakini chochote kile ambacho kiliwagharimu sana hakikuitafsiri kwa ubora hiyo ni kwa hakika,0
31,kwa hasi ni ya kutosha kusababisha majuto kwa masaa mengine mawili ya maisha yaliyopotea mbele ya skrini,0,kwa hasi ni ya kutosha kusababisha majuto kwa masa mengine mawili ya maisha yaliyopotea mbele ya skrini,0
32,muda mrefu mwepesi na hauna maana,0,muda mrefu mwepesi na hauna mana,0
